constructionyear;locality;organbuilder;architect;stopsnumber;manualsnumber;pedals;oc_lat;oc_lng;oc_formatted
2001;Lyngby Kirke ;Th. Frobenius & Sønner;Vilhelmsen, Marxen og Bech-Jensen. [Se noter].;10;2;Pedal;55.773475;12.5002735;Lyngby Kirke, Lyngby Hovedgade, 2800 Kongens Lyngby, Denmark
1961;Nim Kirke ;Th. Frobenius & Co;;6;1;Pedal;55.9271679;9.6814481;Nim Kirke, Kirkevej, Nim, Denmark
2002;Ryde Kirke ;Th. Frobenius & Sønner;;10;2;Pedal;56.4334928;8.7783013;Ryde Kirke, Skolevænget, 7830 Vinderup, Denmark
2002;Rønninge Kirke ;Gunnar Fabricius Husted;Ebbe Lehn Petersen;17;2;Pedal;55.3446392;10.6044368;Rønninge Kirke, Rønninge Bygade, 5550 Langeskov, Denmark
2003;Stjær Kirke ;Marcussen & Søn;Per Kristensens Tegnestue [Menighedsrådenes Blad 2004,5].;12;2;Pedal;56.1172703;9.9540635;Stjær Kirke, Østerbro, 8464 Galten, Denmark
1970;Svogerslev Kirke ;Frederiksborg Orgelbyggeri;Rolf Graae;10;2;Pedal;55.634202;12.0150503;Svogerslev Kirke, Svogerslev Kirkevej, Svogerslev, Denmark
1968;Sønder Nærå Kirke ;Th. Frobenius & Sønner;> 1968: Ebbe Lehn Petersen. [Se noter]. > 2002: Ebbe Marxen [iflg. meddelelse fra orgelbyggeriet]];12;2;Pedal;55.3082533;10.4919945;Sankt Mikaels Kirke, Bøjden, Sønder Nærå, Denmark
2002;Tårup Kirke ;Marcussen & Søn;;10;2;Pedal;55.2344329;10.7738344;Taarup Kirke, Tårup Byvej, 5871 Frørup, Denmark
1946;Ulbjerg Kirke ;Th. Frobenius & Co;Fin Ditlevsen;7;1;Pedal;56.6276064;9.346319;Ulbjerg Kirke, Bakken, Ulbjerg, Denmark
1965;Uvelse Kirke ;Frederiksborg Orgelbyggeri;Rolf Graae;7;1;Pedal;55.8673603;12.2394631;Uvelse Kirke, Kirkestræde, 3330 Gørløse, Denmark
1990;Vejstrup Kirke ;P. Bruhn & Søn;Ebbe Lehn Petersen. [Iflg. medd. fra orgelbyggeriet].;10;2;Pedal;55.1043557;10.7100501;Vejstrup Kirke, Egemosevej, 5882 Vejstrup, Denmark
2002;Vilstrup Kirke ;Marcussen & Søn;;15;2;Pedal;55.2002234;9.5164399;Vilstrup Kirke, Vilstrup Kirkevej, 6100 Haderslev, Denmark
1971;Ålsø Kirke ;Th. Frobenius & Sønner;;9;2;Pedal;56.3722217;10.8515193;Ålsø Kirke, Ellebjergvej, Norddjurs Municipality, Denmark
1973;Aarhus, Sct. Lukas Kirke ;Marcussen & Søn;Kai Gottlob.;40;3;Pedal;NA;NA;NA
1971;Drigstrup Kirke ;Th. Frobenius & Sønner;> Ebbe Lehn Petersen [Se noter].;4;1;(Intet Pedal);55.4666194;10.6090191;Drigstrup Kirke, Drigstrup Bygade, 5300 Kerteminde, Denmark
1882;Døstrup Kirke ;Marcussen & Søn;;10;1;Pedal;55.1149207;8.7994117;Døstrup Kirke, Genforeningsvej, Døstrup, Denmark
1966;Guldager Kirke ;Marcussen & Søn;> Rolf Graae og Richard Aas.;18;2;Pedal;55.5308697;8.4002379;Guldager Kirke, Guldagervej, 6710 Esbjerg V, Denmark
2002;Lyngså Kirke ;Bruno Christensen & Sønner;Øjvind Jørgensen;12;2;Pedal;57.2379744;10.5083438;Lyngså Kirke, Østkystvejen, Lyngså, Denmark
2002;Redsted Kirke ;Bruno Christensen & Sønner;Gert Madsen.;12;2;Pedal;56.7400191;8.6523711;Redsted Kirke, Vindbakken, 7970 Redsted, Denmark
1981;Agerbæk Kirke ;Jydsk Orgelbyggeri;;11;2;Pedal;55.598096;8.8051797;Agerbæk Kirke, Kærbjergvej, 6753 Agerbæk, Denmark
2001;Broholm Kirke ;Bruno Christensen & Sønner;Lars Mindedal.;9;2;Pedal;55.3544443;10.1843576;Broholm Kirke, Kirkevej, 5690 Tommerup, Denmark
1946;Brøndum Kirke ;Th. Frobenius & Co;Fin Ditlevsen.;8;1;Pedal;56.5904692;8.9154614;Brøndum Kirke, Brøndum Kirkevej, Hvidbjerg, Denmark
1964;Døllefjelde Kirke ;Frederiksborg Orgelbyggeri;1964: J.K. Jepsen. 1980: Rolf Graae. 2001: Varmings Tegnestue, Præstø.;7;1;Pedal;54.7322105;11.6912726;Døllefjelde Kirke, Strædet, Guldborgsund Municipality, Denmark
2001;Espe Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen.;13;2;Pedal;55.2004851;10.4119298;Espe Kirke, Kirkegade, Espe, Denmark
1878;Felsted Kirke ;Marcussen & Søn;;10;1;Pedal;54.9740824;9.4970389;Felsted Kirke, Kirkevej, Felsted, Denmark
2001;Fuglse Kirke ;Bruno Christensen & Sønner;Varmings Tegnestue, Præstø.;13;2;Pedal;54.7079767;11.5135003;Fuglse Kirke, Fuglsevej, 4960 Holeby, Denmark
2001;Helsingør, Sct. Mariæ Kirke;Marcussen & Søn;;10;1;Pedal;56.0370246;12.6126858;Sankt Mariæ Kirke og Vor Frue Kloster, Hestemøllestræde, 3000 Helsingør, Denmark
2001;Herringe Kirke ;P.G. Andersen & Bruhn;Ebbe Lehn Petersen [Iflg. medd. fra orgelbyggeriet].;11;2;Pedal;55.2040887;10.4489058;Herringe Kirke, Rudmevej, 5750 Ringe, Denmark
1966;Herritslev Kirke ;I. Starup & Søn;;5;1;Pedal;54.6943891;11.6662451;Herritslev Kirke, Sakskøbingvej, Store Musse, Denmark
1977;Horsens, Sønderbro Kirke ;Marcussen & Søn;Paul Niepoort. [Iflg. medd. fra orgelbyggeriet].;22;2;Pedal;55.8585339;9.8402151;Sønderbro Kirke, Bygholm Parkvej, 8700 Horsens, Denmark
1989;Horsens, Vestermark Kirke ;Bruno Christensen & Sønner;;12;2;Pedal;55.8743853;9.8364991;Vestermark Kirke, Fussingsvej, 8700 Horsens, Denmark
1878;Ketting Kirke ;Ph. Furtwängler & Söhne;;13;2;Pedal;54.9669607;9.898283;Ketting Kirke, Kirkevænget, 6440 Augustenborg, Denmark
2001;København, Sct. Pauls Kirke;Henk Klop;;5;1;(Intet Pedal);NA;NA;NA
1979;København, Tagensbo Kirke;Carsten Lund;Orgelbyggeriet.;20;2;Pedal;55.7083436;12.534249;Tagensbo Kirke, Landsdommervej, 2400 København NV, Denmark
2001;Langeslund Kirke ;Th. Frobenius & Sønner;Øjvind Jørgensen. [Iflg. annonce, Menighedsrådenes Blad 2002].;16;2;Pedal;57.1220615;9.621518;Langeslund Kirke, Thyvej, Arentsminde, Denmark
2001;Lejrskov Kirke ;P.G. Andersen & Bruhn;;14;2;Pedal;55.5161487;9.3368198;Lejrskov Kirke, Asbøl, Lejrskov Kirkevej, 6640 Lunderskov, Denmark
1968;Skallerup Kirke ;Frederiksborg Orgelbyggeri;Rolf Graae.;13;2;Pedal;57.4791254;9.8520274;Skallerup Kirke, Nørremøllevej, Hjørring Municipality, Denmark
2001;Lundeborg Kirke ;P.G. Andersen & Bruhn;Lars Mindedal.;9;2;Pedal;55.1341565;10.7784419;Lundeborg Kirke, Knarreborg Møllevej, 5874 Hesselager, Denmark
2001;Måløv Kirke ;Carsten Lund;Orgelbyggeriet.;17;2;Pedal;55.7518011;12.317873;Måløv Kirke, Kratvej, 2760 Måløv, Denmark
1995 (?);Niløse Kirke ;Bruno Christensen & Sønner;;6;1;Pedal;55.5575548;11.4951093;Niløse Kirke, Kongstedvej, 4293 Dianalund, Denmark
1962;Roerslev Kirke ;Th. Frobenius & Co;Leopold Teschl.;6;1;Pedal;55.4866279;9.8635826;Roerslev Kirke, Kirkebjergvej, 5580 Nørre, Denmark
2001;Seest Kirke ;Anders Havgaard Rasmussen;;13;2;Pedal;55.483076;9.4375116;Seest Kirke, Seestvej, 6000 Kolding, Denmark
2000;Skibinge Kirke ;Anders Havgaard Rasmussen;Orgelbyggeriet.;8;2;Pedal;55.1017339;12.0249085;Skibinge Kirke, Ronesbanke, 4720 Præstø, Denmark
2000;Støvring Kirke ;Marcussen & Søn;Poul Brøgger.;19;2;Pedal;56.5028488;10.1756466;Støvring Kirke, Murhusbakken, Støvring, Denmark
2001;Støvringgård Klosterkirke ;Marcussen & Søn;;4;1;Anhangspedal;NA;NA;NA
1967;Svendborg, Sct. Nicolaj Kirke ;Marcussen & Søn;Rolf Graae (1967). Havsteen-Mikkelsens Tegnestue, ved ark. Steffen Petersen (2016).;41;4;Pedal;NA;NA;NA
2001;Sønder Tranders Kirke ;Bruno Christensen & Sønner;Poul Brøggers Arkitektfirma v/ Erik Sørensen [Iflg. annoncetekst i Menighdsrådenes Blad 2002].;18;2;Pedal;57.0095618;9.9863732;Sønder Tranders Kirke, Gulnarevej, 9220 Aalborg Øst, Denmark
2002;Vester Skerninge Kirke ;Th. Frobenius & Sønner;;14;2;Pedal;55.0750489;10.4607322;Vester Skerninge Kirke, Fåborgvej, 5762 Vester, Denmark
1974;Aalborg, Hans Egedes Kirke ;Marcussen & Søn;;24;2;Pedal;57.0228212;9.9416898;Hans Egedes Kirke, Umanakvej, 9210 Aalborg SØ, Denmark
1962;Aarhus, Fredens Kirke ;Frederiksborg Orgelbyggeri;;28;3;Pedal;NA;NA;NA
2000;Adslev Kirke ;Th. Frobenius & Sønner;;10;2;Pedal;56.0988241;9.993773;Adslev Kirke, Gammel Ryvej, 8362 Hørning, Denmark
2001;Balling Kirke ;Bruno Christensen & Sønner;Arkitekterne, Thisted.;12;2;Pedal;56.6256152;8.8863621;Balling Kirke, Nittrup, Præstestien, Balling, Denmark
2000;Bedsted Kirke ;Marcussen & Søn;Hans Lund.;15;2;Pedal;55.0584184;9.1057096;Bedsted Kirke, Kirkegade, Bedsted, Denmark
1975;Bovense Kirke ;Th. Frobenius & Sønner;Knud, Erik og Ebbe Lehn Petersen.;7;1;Pedal;55.3823239;10.7215054;Bovense Kirke, Ringervej, Nyborg Municipality, Denmark
2000;Bramdrup Kirke ;Marcussen & Søn;Birch & Svenning.;11;2;Pedal;55.522797;9.4771132;Bramdrup Kirke, Kirkely, 6000 Kolding, Denmark
2000;Bølling Kirke ;Bruno Christensen & Sønner;Ib Lydholm.;10;2;Pedal;55.9767668;8.5541053;Bølling Kirke, Vester Kirkevej, Bølling, Denmark
2000;Drejø Kirke ;Th. Frobenius & Sønner;;4;1;Anhangspedal;54.9668956;10.4197457;Drejø Kirke, Kirkevejen, Svendborg Municipality, Denmark
2000;Emb Kirke ;Gunnar Fabricius Husted;> Jørgen Ussing Bømler.;7;1;Pedal;56.7161219;8.6919568;Blidstrup Kirke, Åbakken, 7970 Redsted, Denmark
2000;Farendløse Kirke ;Jensen & Thomsen;H. Flye Jensen. [Iflg. Dagbladet, Ringsted 4. maj 2000].;10;2;Pedal;55.3897007;11.8883157;Farendløse Kirke, Møllemarken, Farendløsevej, Farendløse, Denmark
2001;Grenå Kirke ;Jensen & Thomsen;Alan Havsteen-Mikkelsen;34;3;Pedal;56.4134828;10.8759741;Grenaa Kirke, Torvet, 8500 Grenaa, Denmark
1970;Hareskov Kirke ;Th. Frobenius & Co;;11;2;Pedal;55.7638467;12.398840999999999;Hareskov Kirke, Skovbovænget, 3500 Værløse, Denmark
2000;Holte, Ny Holte Kirke ;P.G. Andersen & Bruhn;> Rolf Schütze []https://www.kulturarv.dk/kid/VisKunstner.do?kunstnerId=10469;31;3;Pedal;55.8197682;12.4640559;Holte Kirke, Rudemarken, 2840 Holte, Denmark
1967;Hornborg Kirke ;Marcussen & Søn;Esben Klint.;7;1;Pedal;55.8552077;9.6651;Hornborg Kirke, Kirkesvinget, 8762 Flemming, Denmark
1884;Horsens Hospitalskirke ;Frederik Nielsen;;6;1;Pedal;NA;NA;NA
1977;Horsens, Vor Frelsers Kirke ;Th. Frobenius & Sønner;Inger & Johannes Exner [Iflg. medd. fra orgelbyggeriet 1978].;41;3;Pedal;55.8621584;9.8519061;Vor Frelsers Kirke, Torvet, 8700 Horsens, Denmark
2000;Jystrup Kirke ;P.G. Andersen & Bruhn;;9;2;Pedal;55.5157438;11.8682745;Jystrup Kirke, Jystrup Bygade, 4174 Jystrup, Denmark
2000;Kirke Helsinge Kirke ;P.G. Andersen & Bruhn;Mogens Andersen.;13;2;Pedal;55.5163214;11.2067591;Kirke Helsinge Kirke, Søndergade, 4281 Gørlev, Denmark
2000;Kollund Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen;14;2;Pedal;54.8415864;9.4528354;Kollund Kirke, Drosselvej, 6340 Kruså, Denmark
1974;København, Kastrup Kirke;Th. Frobenius & Sønner;;24;2;Pedal;NA;NA;NA
2000;Køge Kirke;Marcussen & Søn;Karsten Vibild.;10;2;Pedal;55.45824;12.1830841;Sankt Nicolai Kirke, Nørregade, 4600 Køge, Denmark
2000;Resen Kirke ;Jensen & Thomsen;Alan Havsteen-Mikkelsen. [Iflg. annonce fra orgelbyggeriet].;10;2;Pedal;56.5894276;9.034557;Resen Kirke, Kirkevej, 7800 Skive, Denmark
2000;Roskilde Domkirke;Marcussen & Søn;;15;2;Pedal;55.6426436;12.0804349;Roskilde Cathedral, Domkirkepladsen, 4000 Roskilde, Denmark
2000;Roskilde Domkirke;Marcussen & Søn;;4;1;(Intet Pedal);55.6426436;12.0804349;Roskilde Cathedral, Domkirkepladsen, 4000 Roskilde, Denmark
2000;Skørping Kirke ;Gunnar Fabricius Husted;Alan Havsteen-Mikkelsen. [Iflg. meddelelse fra orgelbyggeriet 2001].;10;2;Pedal;56.8628213;9.8891531;Skørping Kirke, Gammel Skørpingvej, 9520 Skørping, Denmark
1974;Tamdrup Kirke ;Marcussen & Søn;;15;2;Pedal;55.8918793;9.7383183;Tamdrup Kirke, Bisgårdsvej, Horsens, Denmark
2000;Udbyneder Kirke ;Bruno Christensen & Sønner;Vilhelmsen, Marxen og Bech-Jensen.;13;2;Pedal;56.6591548;10.2344268;Udbyneder Kirke, Udbynedervej, 8970 Havndal, Denmark
2000;Vester Nebel Kirke ;P.G. Andersen & Bruhn;;12;2;Pedal;55.5412518;8.5425798;Vester Nebel Kirke, Stokbrovej, Vester Nebel, Denmark
1967;Volling Kirke ;Marcussen & Søn;;6;1;Pedal;56.6006995;8.8793545;Volling Kirke, Nyholmvej, Skive Municipality, Denmark
2000;Øster Nykirke Kirke ;Th. Frobenius & Sønner;Birch & Svenning;11;2;Pedal;NA;NA;NA
1961;Ål Kirke ;Th. Frobenius & Co;;13;2;Pedal;55.6314303;8.2814048;Aal Kirke, Kirkegade, 6840 Oksbøl, Denmark
1960;Aalborg, Vor Frue Kirke;Marcussen & Søn;;5;1;(Intet Pedal);57.0463634;9.9239599;Church of Our Lady, Aalborg, Vor Frue Plads, 9000 Aalborg, Denmark
1999;Ajstrup Kirke ;Th. Frobenius & Sønner;Øjvind Jørgensen;11;2;Pedal;57.1797975;9.9655677;Ajstrup Kirke, Ajstrupvej, 9381 Sulsted, Denmark
1999;Askov Kirke ;Jensen & Thomsen;Alan Havsteen-Mikkelsen [iflg. medd. fra orgelbyggeriet].;10;2;Pedal;55.4719459;9.10189;Askov kirke, Askov, Region of Southern Denmark, Denmark
1910;Bislev Kirke ;I. Starup;;8;1;Pedal;56.945319;9.6092294;Bislev Kirke, Halkærvej, 9240 Nibe, Denmark
1967;Ejdrup Kirke ;I. Starup & Søn;;9;2;Pedal;56.889617200000004;9.5354485;Ejdrup Kirke, Ejdrupvej, Aalborg Municipality, Denmark
1998;Elev Kirke ;Bruno Christensen & Sønner;> Jan Smærup [iflg. meddelelse fra orgelbyggeriet].;10;2;Pedal;56.2416502;10.1977626;Elev Kirke, Høvej, 8520 Lystrup, Denmark
1978;Estvad Kirke ;P. Bruhn & Søn;Orgelbyggeriet [medd. af dette 1979].;9;2;Pedal;56.5289608;8.9683541;Estvad Kirke, Flyndersøvej, Skive Municipality, Denmark
1999;Finderup Kirke ;Bruno Christensen & Sønner;Arkitekterne, Thisted v/ Ib Lydholm.;9;2;Pedal;56.412219;9.2878399;Finderup Kirke, Finderupvej, Viborg Municipality, Denmark
1976;Gangsted Kirke ;Marcussen & Søn;;5;1;Pedal;55.9257454;9.9963196;Gangsted Kirke, Kråsigvej, 8732 Hovedgård, Denmark
1986;Hogager Kirke ;P. Bruhn & Søn;Orgelbyggeriet.;7;1;Pedal;56.3716426;8.8526937;Hogager Kirke, Langgade, Holstebro Municipality, Denmark
1999;Holstebro Valgmenighedskirke ;Th. Frobenius & Sønner;;15;2;Pedal;56.3605947;8.6137448;Holstebro Valgmenighedskirke, Skolegade, 7500 Holstebro, Denmark
1972;Hygum Kirke ;P. Bruhn;;6;1;Pedal;55.3531796;8.9781611;Sønder Hygum Kirke, Ribevej, Sønder Hygum, Denmark
1971;Kollund Kirke ;Jensen & Thomsen;;5;1;Pedal;54.8415864;9.4528354;Kollund Kirke, Drosselvej, 6340 Kruså, Denmark
1999;Kousted Kirke ;Marcussen & Søn;Jacob Blegvad Arkitektkontor.;6;1;Pedal;56.5140942;9.9018808;Kousted Kirke, Sognevej, 8990 Fårup, Denmark
1999;København, Kingos Kirke;Marcussen & Søn;;21;2;Pedal;55.700921;12.5453088;Kingos Kirke, Bragesgade, 2200 København N, Denmark
1998;Lellinge Kirke ;Marcussen & Søn;Keld Wohlert.;14;2;Pedal;55.4673296;12.1111596;Lellinge Kirke, Ringstedvej, 4623 Lille, Denmark
1999;Lemvig Kirke ;P.G. Andersen & Bruhn;Ib Lydholm.;30;2;Pedal;56.5500171;8.309248;Lemvig Kirke, Torvet, 7620 Lemvig, Denmark
1999;Løjt Kirke;Marcussen & Søn;Vilhelmsen, Marxen og Bech-Jensen.;10;2;Pedal;55.0911224;9.4629587;Løjt Kirke, Løjt Storegade, Løjt Kirkeby, Denmark
1998;Nørre Alslev Kirke ;Marcussen & Søn;Rolf Graae.;15;2;Pedal;54.8984686;11.8733568;Nørre Alslev Kirke, Nørre Alslev Langgade, 4840 Nørre, Denmark
1999;Nørre Lyndelse Kirke ;Anders Havgaard Rasmussen;Orgelbyggeren.;12;2;Pedal;55.303753;10.3960021;Nørre Lyndelse Kirke, Lumbyvej, 5260 Odense S, Denmark
1983;Nørre Nissum Kirke ;P. Bruhn & Søn;;16;2;Pedal;56.5569407;8.408565;Nørre Nissum Kirke, Kirkebyen, Nørre Nissum, Denmark
1999;Odense, Sct. Knuds Kirke;Carsten Lund;Ebbe Lehn Petersen.;20;3;Pedal;NA;NA;NA
2000;Roskilde, Sct. Jørgensbjerg Kirke ;P.G. Andersen & Bruhn;Se noter.;22;3;Pedal;NA;NA;NA
1949;Rønnebæk Kirke ;Th. Frobenius & Co;;6;1;Pedal;55.216448;11.8114325;Rønnebæk Kirke, Bystævnet, 4700 Næstved, Denmark
1972;Sahl Kirke ;Th. Frobenius & Sønner;> Poul Hansen og Ib Lydholm. [Danmarks Kirker].;7;1;Pedal;56.4844689;8.8388067;Sahl Kirke, Agerbækvej, 7830 Vinderup, Denmark
1979;Selsø Kirke ;Th. Frobenius & Sønner;;8;1;Pedal;55.7436113;12.0061122;Selsø Kirke, Selsøvej, 4050 Skibby, Denmark
1965;Skellebjerg Kirke ;Brdr. Bruhn;;10;2;Pedal;55.5334925;11.4439285;Skellebjerg Kirke, Tåderupvej, 4293 Dianalund, Denmark
1973;Spentrup Kirke ;Jydsk Orgelbyggeri;;14;2;Pedal;56.5401035;10.0331754;Spentrup Kirke, Hastrupvej, 8981 Spentrup, Denmark
1975;Søvind Kirke ;Th. Frobenius & Sønner;;6;1;Pedal;55.8924191;10.0043088;Søvind Kirke, Kirkebjergvej, Søvind, Denmark
1998;Tulstrup Kirke ;P.G. Andersen & Bruhn;Jørn Schütze.;11;2;Pedal;56.0280935;10.14452;Tulstrup Kirke, Tulstrupvej, 8320 Mårslet, Denmark
1982;Tvis Kirke ;Th. Frobenius & Sønner;;13;2;Pedal;56.3209473;8.7109535;Tvis Kirke, Hovedgaden, Tvis, Denmark
1961;Vandborg Kirke ;Marcussen & Søn;K. Hansen-Møller, Holstebro [Se noter].;7;1;Pedal;56.5451604;8.1744091;Vandborg Kirke, Kirkensgårdvej, Lemvig Municipality, Denmark
1969;Vester Hjermitslev Kirke ;Jydsk Orgelbyggeri;;5;1;Pedal;57.292095;9.7548321;Vester Hjermitslev Kirke, Ingstrupvej, Vester Hjermitslev, Denmark
1999;Vester Kirke ;Bruno Christensen & Sønner;Gert Madsen [meddelt af Bruno Christensen & Sønner 2000].;6;1;Pedal;55.9239125;9.3491837;Vester Kirke, Vester Møllevej, Vejle Municipality, Denmark
1982;Vigsø Kirke ;Bruno Christensen & Sønner;;5;1;Pedal;57.0952693;8.7117488;Vigsø Kirke, Vigsøvej, Thisted Municipality, Denmark
1999;Viskum Kirke ;P.G. Andersen & Bruhn;;6;1;Pedal;56.45066;9.5882958;Viskum, Viskum Kirke, Østervangsvej, 8830 Tjele, Denmark
1998;Voldum Kirke ;Th. Frobenius & Sønner;Vilhelmsen, Marxen og Bech-Jensen.;14;2;Pedal;56.3643989;10.1703601;Voldum Kirke, Sophie Amalie Vej, Voldum, Denmark
1998;Ødsted Kirke ;Bruno Christensen & Sønner;Kuno Mielby. [Iflg. meddelelse fra orgelbyggeriet].;10;2;Pedal;55.6622285;9.3947502;Ødsted Kirke, Vesterbyvej, 7182 Bredsten, Denmark
1969;Ørsted Kirke ;Th. Frobenius & Sønner;;7;1;Pedal;55.332547;10.0566758;Ørsted Kirke, Christian Richardts Vej, 5560 Aarup, Denmark
1891;Øster Egesborg Kirke ;A.H. Busch & Sønner;;5;1;(Intet Pedal);55.0409425;12.0192037;Øster Egesborg Kirke, Øster Egesborgvej, 4773 Stensved, Denmark
1999;Øster Hassing Kirke ;Bruno Christensen & Sønner;Arkitektfirma Brøgger.;14;2;Pedal;57.0686633;10.1943611;Øster Hassing Kirke, Houvej, 9362 Gandrup, Denmark
1895 (?);Allerslev Kirke ;Frederik Nielsen;;4;1;(Intet Pedal);55.081248;12.0373973;Allerslev Kirke, Kirkestræde, 4720 Præstø, Denmark
1974;Alslev Kirke ;Bruno Christensen & Sønner;1996: Grønne, Thorup og Jessen. [Iflg. medd. fra orgelbyggeriet 1997].;11;2;Pedal;55.2900724;12.2030168;Alslev Kirke, Alslevvej, 4653 Karise, Denmark
1958;Arnborg Kirke ;Th. Frobenius & Sønner;;4;1;(Intet Pedal);56.0032784;8.9683226;Arnborg Kirke, Gammel Skarrildvej, Arnborg, Denmark
1973;Østerby Kirke ;Th. Frobenius & Sønner;;10;2;Pedal;57.3052796;11.1348625;Østerby Kirke, Østerbyvejen, Østerby Havn, Denmark
1862;Bogense Kirke ;Marcussen & Søn;;21;2;Pedal;55.5674054;10.0875334;Sct. Nikolaj Kirke, Kirkestræde, 5400 Bogense, Denmark
1967;Bording Kirke ;Marcussen & Søn;;8;2;Pedal;56.1678816;9.2482037;Bording Kirke, Klochsvej, 7441 Bording, Denmark
1969;Brøndum Kirke ;Th. Frobenius & Sønner;Rolf Graae og Richard Aas.;14;2;Pedal;56.5904692;8.9154614;Brøndum Kirke, Brøndum Kirkevej, Hvidbjerg, Denmark
1998;Byrum Kirke ;Th. Frobenius & Sønner;;14;2;Pedal;57.2548822;10.9990606;Byrum Kirke, Kirkestien, 9940 Læsø, Denmark
1998;Børglum Kirke ;Jensen & Thomsen;Orgelbyggeriet.;12;2;Pedal;57.3642227;9.8436866;Børglum Kirke, Børglum Kirkevej, Hjørring Municipality, Denmark
1975;Døstrup Kirke ;Bruno Christensen & Sønner;Se Orglet 2022,1 s. 42.;6;1;Pedal;55.1149207;8.7994117;Døstrup Kirke, Genforeningsvej, Døstrup, Denmark
1967;Daugård Kirke ;Th. Frobenius & Sønner;"Orgelbyggeriet. Standardtype ""Gunslev"". [Iflg. medd. fra orgelbyggeriet 1993].";7;1;Pedal;55.7328307;9.7192817;Daugård Kirke, Svends Møllevej, 8721 Daugård, Denmark
1860 (?);Diernæs Kirke ;Demant & Søn;;7;1;Pedal;55.1058896;10.2941354;Diernæs Kirke, Kirkemarken, 5600 Faaborg, Denmark
1988;Esbjerg, Grundtvigs Kirke ;Bruno Christensen & Sønner;> Richard Larsen [iflg. medd. fra orgelbyggeriet].;34;3;Pedal;NA;NA;NA
1998;Fanefjord Kirke ;Th. Frobenius & Sønner;;14;2;Pedal;54.9012807;12.151162;Fanefjord Kirke, Fanefjord Kirkevej, 4792 Askeby, Denmark
1971;Fiskbæk Kirke ;Jydsk Orgelbyggeri;.;6;1;Pedal;56.5121477;9.3099434;Fiskbæk Kirke, Skivevej, 8831 Løgstrup, Denmark
